post,file,classification,destination_category,confidence,action
2021-12-28_CYAu_IoJ66w,daikuinterior_CYAu_IoJ66w_0.jpg,furnitur-detail,furnitur-detail,0.4794,moved
2021-12-28_CYAvAQrJLAC,daikuinterior_CYAvAQrJLAC_0.jpg,furnitur-detail,furnitur-detail,0.9157,moved
2021-12-28_CYBj3X8p4XA,daikuinterior_CYBj3X8p4XA_0.jpg,furnitur-detail,furnitur-detail,0.8618,moved
2021-12-28_CYBO-4up-hX,daikuinterior_CYBO-4up-hX_0.jpg,furnitur-detail,furnitur-detail,0.951,moved
2021-12-28_CYBPDyvpniJ,daikuinterior_CYBPDyvpniJ_0.jpg,furnitur-detail,furnitur-detail,0.5088,moved
2021-12-29_CYDZbwTp1oj,daikuinterior_CYDZbwTp1oj_0.jpg,ruang-usaha,ruang-usaha,0.9641,moved
2021-12-29_CYDZbwTp1oj,daikuinterior_CYDZbwTp1oj_1.jpg,ruang-usaha,ruang-usaha,0.6686,moved
2021-12-30_CYGNl_0p_4T,daikuinterior_CYGNl_0p_4T_0.jpg,furnitur-detail,furnitur-detail,0.9362,moved
2021-12-30_CYGPEahp4lM,daikuinterior_CYGPEahp4lM_0.jpg,foto-orang,foto-orang,0.6992,moved
2021-12-30_CYGPEahp4lM,daikuinterior_CYGPEahp4lM_1.jpg,perlu-ditinjau,perlu-ditinjau,0.3,moved
2021-12-30_CYGPEahp4lM,daikuinterior_CYGPEahp4lM_2.jpg,ruang-usaha,ruang-usaha,0.6371,moved
2021-12-30_CYGPEahp4lM,daikuinterior_CYGPEahp4lM_3.jpg,foto-orang,foto-orang,0.3568,moved
2021-12-30_CYGPEahp4lM,daikuinterior_CYGPEahp4lM_4.jpg,foto-orang,foto-orang,0.5153,moved
2021-12-30_CYGPEahp4lM,daikuinterior_CYGPEahp4lM_5.jpg,foto-orang,foto-orang,0.3847,moved
2022-01-03_CYQe67OpfDY,daikuinterior_CYQe67OpfDY_0.jpg,furnitur-detail,furnitur-detail,0.5823,moved
2022-01-03_CYQevLUp9pI,daikuinterior_CYQevLUp9pI_0.jpg,kamar-mandi,kamar-mandi,0.5278,moved
2022-01-03_CYQLkJXpfTR,daikuinterior_CYQLkJXpfTR_0.jpg,furnitur-detail,furnitur-detail,0.9482,moved
2022-01-03_CYQxP-vJyBN,daikuinterior_CYQxP-vJyBN_0.jpg,furnitur-detail,furnitur-detail,0.7778,moved
2022-01-03_CYQxTt7Jgol,daikuinterior_CYQxTt7Jgol_0.jpg,furnitur-detail,furnitur-detail,0.5514,moved
2022-01-04_CYSjk5VpOL5,daikuinterior_CYSjk5VpOL5_0.jpg,furnitur-detail,furnitur-detail,0.6412,moved
2022-01-04_CYSjP7kpcb8,daikuinterior_CYSjP7kpcb8_0.jpg,furnitur-detail,furnitur-detail,0.612,moved
2022-01-04_CYSn99DJVhx,daikuinterior_CYSn99DJVhx_0.jpg,dapur,dapur,0.9834,moved
2022-01-04_CYTCmFAJsT_,daikuinterior_CYTCmFAJsT__0.jpg,ruang-keluarga,ruang-keluarga,0.7521,moved
2022-01-04_CYTCoHLpx4C,daikuinterior_CYTCoHLpx4C_0.jpg,furnitur-detail,furnitur-detail,0.8754,moved
2022-01-04_CYTCp7lJPwq,daikuinterior_CYTCp7lJPwq_0.jpg,furnitur-detail,furnitur-detail,0.834,moved
2022-01-04_CYTLRZVJrjP,daikuinterior_CYTLRZVJrjP_0.jpg,furnitur-detail,furnitur-detail,0.5163,moved
2022-01-05_CYVLoATJk-n,daikuinterior_CYVLoATJk-n_0.jpg,furnitur-detail,furnitur-detail,0.9494,moved
2022-01-05_CYVLtd-ps00,daikuinterior_CYVLtd-ps00_0.jpg,ruang-usaha,ruang-usaha,0.9963,moved
2022-01-06_CYYxSMbpBC4,daikuinterior_CYYxSMbpBC4_0.jpg,furnitur-detail,furnitur-detail,0.9129,moved
2022-01-07_CYahTiDp8FX,daikuinterior_CYahTiDp8FX_0.jpg,kamar-tidur,kamar-tidur,0.847,moved
2022-01-07_CYataBJpfkC,daikuinterior_CYataBJpfkC_0.jpg,kamar-mandi,kamar-mandi,0.4695,moved
2022-01-07_CYaXe34JCPe,daikuinterior_CYaXe34JCPe_0.jpg,kamar-mandi,kamar-mandi,0.7189,moved
