file,reason,confidence
curated\dapur\2022-01-04_CYSn99DJVhx,unggahan-satu-foto,-
curated\dapur\2022-01-10_CYjTAAqpVSi,unggahan-satu-foto,-
curated\dapur\2022-01-28_CZQ6DiUpJ_7,unggahan-satu-foto,-
curated\dapur\2022-02-17_CaD7D_upe48,unggahan-satu-foto,-
curated\dapur\2022-03-14_CbFb3tLpTit,unggahan-satu-foto,-
curated\dapur\2022-03-17_CbL6LSLJ8pe,unggahan-satu-foto,-
curated\dapur\2022-03-29_Cbq95CcJePu,unggahan-satu-foto,-
curated\dapur\2022-04-20_Ccj3rIRJooE,unggahan-satu-foto,-
curated\dapur\2022-05-19_CduQmRVJAaS,unggahan-satu-foto,-
curated\dapur\2022-05-31_CeNXbX_Jogt,unggahan-satu-foto,-
curated\dapur\2022-06-28_CfVpk7cp3zX,unggahan-satu-foto,-
curated\dapur\2022-07-15_CgBbgZqJYE4,unggahan-satu-foto,-
curated\dapur\2022-08-19_ChbJd1hJSBZ,unggahan-satu-foto,-
curated\dapur\2022-08-24_ChoDVgsJ3W-,unggahan-satu-foto,-
curated\dapur\2023-02-23_CpAV7jCpPOL,unggahan-satu-foto,-
curated\dapur\2023-04-26_Cre3DpLJ7Or,unggahan-satu-foto,-
curated\dapur\2025-10-06_DPdiwZ3E7pi,unggahan-satu-foto,-
curated\dapur\2025-10-28_DQWG76uE5vz,unggahan-satu-foto,-
curated\dapur\2025-11-29_DRogV7MEzPg,unggahan-satu-foto,-
curated\dapur\2025-12-16_DSUR3SHE5Xw,unggahan-satu-foto,-
curated\eksterior\2022-06-06_CeciHU6JIqa,unggahan-satu-foto,-
curated\eksterior\2022-06-28_CfVH4kZJFeL,unggahan-satu-foto,-
curated\eksterior\2023-06-07_CtLElglRGOq,unggahan-satu-foto,-
curated\eksterior\2024-05-03_C6f7nXdRPmV,unggahan-satu-foto,-
curated\eksterior\2025-10-11_DPqVXZkE6H8,unggahan-satu-foto,-
curated\eksterior\2025-11-10_DQ3mHWCk1_W,unggahan-satu-foto,-
curated\eksterior\2025-12-30_DS4VBW1E306,unggahan-satu-foto,-
curated\eksterior\2026-01-14_DTfMNwkE1uE,unggahan-satu-foto,-
curated\eksterior\2026-01-19_DTr05f3k6Es,unggahan-satu-foto,-
curated\furnitur-detail\2021-12-28_CYAu_IoJ66w,unggahan-satu-foto,-
curated\furnitur-detail\2021-12-28_CYAvAQrJLAC,unggahan-satu-foto,-
curated\furnitur-detail\2021-12-28_CYBj3X8p4XA,unggahan-satu-foto,-
curated\furnitur-detail\2021-12-28_CYBO-4up-hX,unggahan-satu-foto,-
curated\furnitur-detail\2021-12-28_CYBPDyvpniJ,unggahan-satu-foto,-
curated\furnitur-detail\2021-12-30_CYGNl_0p_4T,unggahan-satu-foto,-
curated\furnitur-detail\2022-01-03_CYQe67OpfDY,unggahan-satu-foto,-
